Название вакансии,Компания,Ссылка,Оплата труда,Описание вакансии
Программист Python,ООО Технологии безопасности дорожного движения,https://perm.hh.ru/vacancy/31436572?query=python,от 40 000 руб.,"Разработка, тестирование и поддержка приложений Python. Участие в разработке архитектуры. Работа с базами данных, MySQL, PostgreSQL.
Владение Python 2.6, 2.7. Опыт работы с MySQL/PostgreSQL. Опыт работы с системами контроля версий (git). "
Full-stack разработчик/программист,ООО Гет-Нэт,https://perm.hh.ru/vacancy/30914832?query=python,50 000-100 000 руб.,"Разрабатывать веб-сервисы (как клиентскую, так и серверную части).
Программировать на любом скриптовом языке. Мыслить системно. Осваивать новые технологии. Владение lua. Опыт работы с tarantool. Понимание современного frontend-а..."
Учитель информатики,Фонд Учитель для России,https://perm.hh.ru/vacancy/30685691?query=python,0,"
Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке НИУ ВШЭ по окончании программы."
Учитель робототехники,Фонд Учитель для России,https://perm.hh.ru/vacancy/30679911?query=python,0,"
Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке НИУ ВШЭ по окончании программы."
Back-end разработчик,ООО Carrot quest,https://perm.hh.ru/vacancy/31525510?query=python,0,"Разработка backend сервиса Carrot quest. - Участвовать в проектировании фичей, предлагать свои идеи. Отсутствие тотального контроля над каждым твоим действием и...
Высокие требования к качеству своей работы. - Мотивация расти и развиваться. - Будет плюсом опыт работы с Python, SQL и NoSQL базами..."
Data Analyst, ЭР-Телеком,https://perm.hh.ru/vacancy/30758063?query=python,0,"Создание и поддержка моделей машинного обучения (предсказание оттока клиентов, сегментация клиентской базы, профилирование клиентов и др). Выгрузка данных из различных...
Опыт работы с инструментами статистического анализа данных, минимум с одним из списка: Python / R / SPSS / SAS. Знание MS Office на..."
Go разработчик, Xsolla Inc.,https://perm.hh.ru/vacancy/31125583?query=python,60 000-120 000 руб.,"Разрабатывать бэкенд для Продукта на Go. Участвовать в разработке архитектуры продукта и выборе технологий.
...или любом другом серверном объектном языке: PHP, java, C#, ruby, python). Хорошо понимаешь алгоритмы и структуры данных. Разбираешься в принципах..."
Аналитик данных, ЭР-Телеком,https://perm.hh.ru/vacancy/30762179?query=python,0,"Создание и поддержка моделей машинного обучения (предсказание оттока клиентов, сегментация клиентской базы, профилирование клиентов и др). Выгрузка данных из различных...
Опыт работы с инструментами статистического анализа данных, минимум с одним из списка: Python / R / SPSS / SAS. Знание MS Office на..."
Full-stack Developer,"ПАО Урал ФД, АКБ",https://perm.hh.ru/vacancy/27861785?query=python,40 000-85 000 руб.,"Развитие интернет-сервисов и систем Интернет-Банка. Разработка интеграции сервисов интернет-банка с внешними системами. Доработка систем мониторинга и управления...
Опыт работы в области интернет-технологий от 2-х лет. Знание JS, SQL, HTML, PHP/Python (либо другой язык бэкэнда)."
BI/SQL разработчик (в г.Краснодар), TRproject,https://perm.hh.ru/vacancy/31262609?query=python,до 120 000 руб.,"Проектирование и внедрения BI-инструментов с нуля. Проектирование архитектуры БД/ХД на базе MS SQL Server. Анализ производительности и оптимизация...
Знания в области машинного обучения, понимание методологии построения моделей и метрик оценки их качества. Опыт использования R или Python для..."
Специалист по тестированию (автотестирование),ООО ДартИТ,https://perm.hh.ru/vacancy/30345401?query=python,0,"Разработка программ и скриптов автоматизированного тестирования (groovy в SOAP UI, javascript в Postman, самостоятельные программы на java или python). 
Умение создавать небольшие скрипты на одном из современных языков программирования: javascript / python / groovy / java. Опыт работы в команде по гибкой..."
Software test automation engineer," EPAM Systems, Inc.",https://perm.hh.ru/vacancy/31484229?query=python,0,"Написание новых автоматизированных API и UI тестов и поддержка уже существующих наборов автотестов. Анализ отчетов результатов автоматизированного тестирования. 
Опыта разработки автоматизированных тестов на Java и Selenium. Опыт автоматизированного тестирования Web приложений. Знание REST Assured, SoapUI. Опыт работы с..."
Руководитель отдела backend-разработки, G-Core Labs,https://perm.hh.ru/vacancy/31478337?query=python,0,"Участвовать в проектах в качестве архитектора и ведущего разработчика, оценивать сроки выполнения задач, создавать HLD/POC, распределять задачи внутри команды. 
Уверенное знание Python 3.5 и выше. Django, git, rabbitmq. Понимание OOP (SOLID). Опыт работы с SQL и non-SQL..."
Ведущий администратор (DevOps), ЭР-Телеком,https://perm.hh.ru/vacancy/31094155?query=python,0,"Администрирование Docker кластера. Администрирование MySQL сервера. Администрирование GitLab. Автоматизация задач администрирования, внутренних процессов разработки и тестирования (Continuous Integration, Continuous Delivery). 
Опыт программирования на скриптовых языках (Bash, PHP, Python). Опыт администрирования UNIX/Linux-систем не менее 2х лет. "
Старший программист (Perl/Python), ЭР-Телеком,https://perm.hh.ru/vacancy/30244338?query=python,до 60 000 руб.,"Разработка нового, поддержка и актуализация базового функционала систем мониторинга сети. Проведение обучения и контроль за уровнем компетенций программистов направления.
Опыт работы с протоколами Telnet,SSH,SNMP. Знания скриптовых языков perl/python. Знания PostgreSQL. Опыт написания сложных SQL запросов/процедур."
Javascript разработчик (backend), DATABRIZ,https://perm.hh.ru/vacancy/30245864?query=python,80 000-130 000 руб.,"О продукте и команде. Процессы: Плоская орг.структура, быстрое принятие решений. Внедряем: code review, тестирование, итеративная разработка, CI, системный рефакторинг. 
Опыт создания backend для SPA не менее 1 года (на любом языке: PHP, Java, C#, Nodejs, Python). Опыт работы с..."
Программист С++,ПАО Пермская научно-производственная приборостроительная компания,https://perm.hh.ru/vacancy/30689588?query=python,от 35 000 руб.,"Мы ведем множество проектов, связанных с созданием навигационных блоков и узлов, входящих в их состав, технологического ПО для контрольно-проверочных...
Приветствуются знание и опыт программирования под ОС Linux. Приветствуется знание других ООП языков (Python, Java, C#). Приветствуется знание скриптовых языков..."
DevOps specialist, PARMA technologies group,https://perm.hh.ru/vacancy/31448459?query=python,0,"Разработка конвейеров сборки, тестирования и развертывания приложений на основе Java, Oracle, Cognos Analytics, QlikView поверх RedHat и Windows Server. 
Знание Linux-систем (RedHat) на уровне администрирования. Основы администрирования Windows. Опыт использования Python для разработки скриптов автоматизации. Опыт настройки и..."
Ведущий программист С++,ПАО Пермская научно-производственная приборостроительная компания,https://perm.hh.ru/vacancy/30689565?query=python,от 60 000 руб.,"Мы ведем множество проектов, связанных с созданием навигационных блоков и узлов, входящих в их состав, технологического ПО для контрольно-проверочных...
Приветствуются знание и опыт программирования под ОС Linux. Приветствуется знание других ООП языков (Python, Java, C#). Приветствуется знание скриптовых языков..."
DevOps инженер, ЭР-Телеком,https://perm.hh.ru/vacancy/20762024?query=python,0,"Автоматизацию процессов разработки ПО (CI / CD). Обеспечение мониторинга работоспособности всех компонентов высоконагруженной системы. Реагирование на инциденты. Работу в команде профессионалов...
Опыт разработки на backend на любом серверном языке программирования (Java, PHP, Python, ASP.NET / C#, ...). Опыт администрирования серверов на linux-based..."
Программист Python,ООО Технологии безопасности дорожного движения,https://perm.hh.ru/vacancy/31436572?query=python,от 40 000 руб.,"Разработка, тестирование и поддержка приложений Python. Участие в разработке архитектуры. Работа с базами данных, MySQL, PostgreSQL.
Владение Python 2.6, 2.7. Опыт работы с MySQL/PostgreSQL. Опыт работы с системами контроля версий (git). "
Full-stack разработчик/программист,ООО Гет-Нэт,https://perm.hh.ru/vacancy/30914832?query=python,50 000-100 000 руб.,"Разрабатывать веб-сервисы (как клиентскую, так и серверную части).
Программировать на любом скриптовом языке. Мыслить системно. Осваивать новые технологии. Владение lua. Опыт работы с tarantool. Понимание современного frontend-а..."
Учитель информатики,Фонд Учитель для России,https://perm.hh.ru/vacancy/30685691?query=python,0,"
Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке НИУ ВШЭ по окончании программы."
Учитель робототехники,Фонд Учитель для России,https://perm.hh.ru/vacancy/30679911?query=python,0,"
Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке НИУ ВШЭ по окончании программы."
